plane,busy_ns,utilization
389,2000,0.0320067
390,2000,0.0320067
391,2000,0.0320067
392,2000,0.0320067
393,2000,0.0320067
394,2000,0.0320067
395,2000,0.0320067
396,2000,0.0320067
397,2000,0.0320067
398,2000,0.0320067
399,2000,0.0320067
400,2000,0.0320067
401,2000,0.0320067
402,2000,0.0320067
403,2000,0.0320067
404,2000,0.0320067
405,2000,0.0320067
406,2000,0.0320067
407,2000,0.0320067
408,2000,0.0320067
409,2000,0.0320067
410,2000,0.0320067
411,2000,0.0320067
412,2000,0.0320067
413,2000,0.0320067
414,2000,0.0320067
415,2000,0.0320067
416,2000,0.0320067
417,2000,0.0320067
418,2000,0.0320067
419,2000,0.0320067
420,2000,0.0320067
421,2000,0.0320067
422,2000,0.0320067
423,2000,0.0320067
424,2000,0.0320067
425,2000,0.0320067
426,2000,0.0320067
427,2000,0.0320067
428,2000,0.0320067
429,2000,0.0320067
430,2000,0.0320067
431,2000,0.0320067
432,2000,0.0320067
433,2000,0.0320067
434,2000,0.0320067
435,2000,0.0320067
436,2000,0.0320067
437,2000,0.0320067
438,2000,0.0320067
439,2000,0.0320067
440,2000,0.0320067
441,2000,0.0320067
442,2000,0.0320067
443,2000,0.0320067
444,2000,0.0320067
445,2000,0.0320067
446,2000,0.0320067
447,2000,0.0320067
448,2000,0.0320067
449,2000,0.0320067
450,2000,0.0320067
451,2000,0.0320067
452,2000,0.0320067
453,2000,0.0320067
454,2000,0.0320067
455,2000,0.0320067
456,2000,0.0320067
457,2000,0.0320067
458,2000,0.0320067
459,2000,0.0320067
460,2000,0.0320067
461,2000,0.0320067
462,2000,0.0320067
463,2000,0.0320067
464,2000,0.0320067
465,2000,0.0320067
466,2000,0.0320067
467,2000,0.0320067
468,2000,0.0320067
469,2000,0.0320067
470,2000,0.0320067
471,2000,0.0320067
472,2000,0.0320067
473,2000,0.0320067
474,2000,0.0320067
475,2000,0.0320067
476,2000,0.0320067
477,2000,0.0320067
478,2000,0.0320067
479,2000,0.0320067
480,2000,0.0320067
481,2000,0.0320067
482,2000,0.0320067
483,2000,0.0320067
484,2000,0.0320067
485,2000,0.0320067
486,2000,0.0320067
487,2000,0.0320067
488,2000,0.0320067
489,2000,0.0320067
490,2000,0.0320067
491,2000,0.0320067
492,2000,0.0320067
493,2000,0.0320067
494,2000,0.0320067
495,2000,0.0320067
496,2000,0.0320067
497,2000,0.0320067
498,2000,0.0320067
499,2000,0.0320067
500,2000,0.0320067
501,2000,0.0320067
502,2000,0.0320067
503,2000,0.0320067
504,2000,0.0320067
505,2000,0.0320067
506,2000,0.0320067
507,2000,0.0320067
508,2000,0.0320067
509,2000,0.0320067
510,2000,0.0320067
511,2000,0.0320067
